Generation,MinFitness,MeanFitness,StdDev
0,0.448408,0.873675,0.175570
1,0.423151,0.746489,0.138310
2,0.419877,0.695460,0.147172
3,0.394271,0.655741,0.151738
4,0.383348,0.610614,0.144858
5,0.370109,0.571886,0.144585
6,0.366197,0.548525,0.137882
7,0.358543,0.512210,0.119033
8,0.358543,0.493851,0.110780
9,0.345537,0.480226,0.104342
10,0.345537,0.486217,0.119812
11,0.345537,0.468290,0.115758
12,0.340939,0.433902,0.095486
13,0.330883,0.422588,0.095916
14,0.330883,0.426236,0.111755
15,0.330854,0.410359,0.085508
16,0.325622,0.417026,0.118074
17,0.324686,0.416523,0.111697
18,0.309843,0.401059,0.100816
19,0.309843,0.403794,0.117189
20,0.309843,0.411998,0.130377
21,0.298787,0.402533,0.110040
22,0.298416,0.397433,0.106848
23,0.298416,0.403614,0.118773
24,0.289209,0.393310,0.101009
25,0.289209,0.393596,0.106503
26,0.287500,0.388223,0.106480
27,0.287500,0.387862,0.108297
28,0.287500,0.388909,0.111998
29,0.287500,0.379846,0.104313
30,0.287500,0.378810,0.121644
31,0.286253,0.379150,0.124921
32,0.286253,0.372923,0.129730
33,0.286253,0.361096,0.105383
34,0.281136,0.365911,0.098636
35,0.281136,0.360726,0.107397
36,0.281136,0.365302,0.098498
37,0.281136,0.363975,0.109207
38,0.281136,0.355705,0.097558
39,0.281136,0.373414,0.130429
40,0.281136,0.368835,0.125386
41,0.281136,0.368393,0.126026
42,0.281136,0.388112,0.170835
43,0.281136,0.383587,0.157909
44,0.281136,0.383913,0.153776
45,0.281136,0.380186,0.148831
46,0.281136,0.383372,0.153271
47,0.281136,0.382076,0.155903
48,0.281136,0.385584,0.145984
49,0.281136,0.379617,0.139604
50,0.281136,0.372934,0.135580
51,0.281136,0.383537,0.158529
52,0.281136,0.380865,0.144820
53,0.281136,0.377946,0.146958
54,0.281136,0.362294,0.111906
55,0.281136,0.376497,0.144951
56,0.281136,0.381680,0.148967
57,0.278663,0.369295,0.127008
58,0.278663,0.361896,0.117312
59,0.278663,0.364322,0.129508
60,0.277082,0.362734,0.124476
61,0.276887,0.360111,0.112099
62,0.276483,0.355345,0.107014
63,0.274682,0.355609,0.098907
64,0.274682,0.353194,0.112025
65,0.273542,0.348254,0.085844
66,0.266999,0.351661,0.101265
67,0.266999,0.350280,0.103965
68,0.266434,0.347322,0.095854
69,0.266434,0.357553,0.102079
70,0.266434,0.352509,0.103761
71,0.266434,0.349039,0.094574
72,0.266434,0.343021,0.090132
73,0.266434,0.344085,0.088055
74,0.266434,0.342049,0.087599
75,0.266434,0.346266,0.094048
76,0.266434,0.334616,0.075042
77,0.266434,0.343205,0.093510
78,0.266434,0.341698,0.084401
79,0.266434,0.340632,0.086197
80,0.266434,0.339147,0.082087
81,0.266434,0.341497,0.088278
82,0.265129,0.347857,0.092126
83,0.265129,0.346028,0.101026
84,0.265129,0.342233,0.090529
85,0.265129,0.346242,0.097869
86,0.265129,0.339460,0.089969
87,0.265129,0.346313,0.087690
88,0.265129,0.343000,0.087439
89,0.262991,0.344609,0.102204
90,0.262991,0.351124,0.100251
91,0.262991,0.346599,0.098393
92,0.262991,0.347216,0.097605
93,0.262991,0.350322,0.098204
94,0.262991,0.355569,0.108335
95,0.262991,0.347470,0.099701
96,0.262991,0.347681,0.103971
97,0.262991,0.345850,0.102179
98,0.262991,0.341393,0.088768
99,0.262991,0.346429,0.097510
100,0.262991,0.347123,0.100903
101,0.262991,0.342988,0.094882
102,0.262991,0.344424,0.098973
103,0.262991,0.343267,0.095966
104,0.260097,0.342343,0.091122
105,0.260097,0.350462,0.105808
106,0.260097,0.346116,0.095185
107,0.259000,0.348422,0.099075
108,0.259000,0.340874,0.096530
109,0.259000,0.346668,0.104300
110,0.259000,0.335312,0.093005
111,0.259000,0.345195,0.093202
112,0.259000,0.340935,0.087295
113,0.259000,0.336139,0.089707
114,0.259000,0.332866,0.076135
115,0.259000,0.343137,0.100852
116,0.259000,0.331950,0.084163
117,0.259000,0.326388,0.073398
118,0.259000,0.336492,0.087631
119,0.259000,0.339019,0.085344
120,0.259000,0.332311,0.075489
121,0.259000,0.331484,0.077759
122,0.259000,0.329825,0.083962
123,0.259000,0.335139,0.080789
124,0.259000,0.329082,0.086968
125,0.259000,0.329414,0.079494
